Name,Formula,State,Formula-Raw,Phase-Flag,Molecular-Weight,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
silver,Ag,g,AG  1.00    0.00    0.00    0.00    0.00,0,107.8682,284900,1000,6000,6197.428,-330992.637,982.008642,1.381179917,0.00061709,-1.69E-07,2.01E-11,-5.63E-16,27267.19171,14.56862733,1
aluminum,Al,g,AL  1.00    0.00    0.00    0.00    0.00,0,26.981538,330000,1000,6000,6918.671,-29208.20938,116.7751876,2.356906505,7.74E-05,-1.53E-08,-9.97E-13,5.05E-16,38232.8865,6.600920155,1
aluminum borate,AlBO2,g,AL  1.00B   1.00O   2.00    0.00    0.00,0,69.791338,-541416.208,1000,5000,0,0,0,7.1722995,0.002978074,-1.24E-06,2.32E-10,-1.60E-14,-67683.682,-9.981739782,1
aluminum bromide,AlBr,g,AL  1.00BR  1.00    0.00    0.00    0.00,0,106.885538,14325.015,1000,6000,9571.115,-610339.56,2010.066834,1.769617961,0.001929889,-6.64E-07,1.17E-10,-7.18E-15,-12178.12867,22.04450764,1
aluminum bromide,AlBr2,g,AL  1.00BR  2.00    0.00    0.00    0.00,0,186.789538,-140662.125,1000,6000,13397.875,-352378.29,467.154417,7.11190819,-0.000555171,3.17E-07,-5.52E-11,3.18E-15,-22650.04078,-2.69561036,1
aluminum bromide,AlBr3,g,AL  1.00BR  3.00    0.00    0.00    0.00,0,266.693538,-410476.664,1000,6000,17943.336,-89355.2744,-26.78035134,10.02063997,-8.46E-06,1.90E-09,-2.22E-13,1.04E-17,-52492.4764,-15.79666403,1
aluminum carbide,AlC,g,AL  1.00C   1.00    0.00    0.00    0.00,0,38.992238,682283.509,1000,6000,9058.109,1937001.487,-6749.11779,13.47525643,-0.005850803,1.93E-06,-2.59E-10,1.22E-14,122536.3649,-61.52244872,1
aluminum carbide,AlC2,g,AL  1.00C   2.00    0.00    0.00    0.00,0,51.002938,675615.776,1000,6000,12262.776,146601.7895,-1362.764489,8.45775915,-0.00036789,7.90E-08,-8.88E-12,4.05E-16,87059.2423,-21.27956728,1
aluminum chloride,AlCl,g,AL  1.00CL  1.00    0.00    0.00    0.00,0,62.434238,-51007.443,1000,6000,9323.112,-899346.122,2765.942061,1.003500696,0.002267807,-7.28E-07,1.18E-10,-6.66E-15,-24961.64448,26.16924759,1
aluminum chloride,AlCl2,g,AL  1.00CL  2.00    0.00    0.00    0.00,0,97.886938,-240874.252,1000,6000,12846.859,430345.306,-1552.370585,8.76065742,-0.000946745,2.40E-07,-2.43E-11,8.39E-16,-21458.84709,-18.03642587,1
aluminum chloride,AlCl3,g,AL  1.00CL  3.00    0.00    0.00    0.00,0,133.339638,-584678.863,1000,6000,16400.803,-137863.0916,-55.7920729,10.04190387,-1.68E-05,3.72E-09,-4.28E-13,1.98E-17,-73434.0747,-20.45131441,1
aluminum fluoride,AlF,g,AL  1.00F   1.00    0.00    0.00    0.00,0,45.9799412,-264060.446,1000,6000,8892.107,-711122.905,1903.013316,2.191607179,0.001421471,-4.18E-07,6.15E-11,-2.95E-15,-45407.2896,16.13163743,1
aluminum monofluoride monochloride,AlFCl,g,AL  1.00F   1.00CL  1.00    0.00    0.00,0,81.4326412,-436409.913,1000,6000,12133.195,69706.3635,-622.448591,7.57347541,-0.000223616,2.38E-08,4.44E-12,-5.49E-16,-51009.432,-10.91165058,1
aluminum monofluoride dichloride,AlFCl2,g,AL  1.00F   1.00CL  2.00    0.00    0.00,0,116.8853412,-791395.404,1000,6000,15738.26,-172036.0526,-119.3340759,10.08894431,-3.55E-05,7.83E-09,-8.96E-13,4.15E-17,-98041.8547,-21.27047629,1
aluminum fluoride,AlF2,g,AL  1.00F   2.00    0.00    0.00    0.00,0,64.9783444,-631764.175,1000,6000,11600.932,-214689.6245,30.9684015,6.81639962,0.000182013,-7.79E-08,1.47E-11,-8.80E-16,-78840.0268,-7.915370474,1
aluminum difluoride monochloride,AlF2Cl,g,AL  1.00F   2.00CL  1.00    0.00    0.00,0,100.4310444,-999128.145,1000,6000,14827.517,-211542.2988,-195.9188681,10.1457685,-5.81E-05,1.28E-08,-1.47E-12,6.78E-17,-122715.311,-23.59853846,1
aluminum fluoride,AlF3,g,AL  1.00F   3.00    0.00    0.00    0.00,0,83.9767476,-1209276.938,1000,6000,14043.722,-249397.216,-291.1202519,10.21662932,-8.64E-05,1.91E-08,-2.18E-12,1.01E-16,-147569.4276,-27.03983244,1
aluminum hydride,AlH,g,AL  1.00H   1.00    0.00    0.00    0.00,0,27.989478,249250.804,1000,6000,8668.104,6802018.43,-21784.16933,30.32713047,-0.015033436,4.49E-06,-6.18E-10,3.12E-14,165830.1221,-187.6766425,1
aluminum monohydride monochloride,AlHCl,g,AL  1.00H   1.00CL  1.00    0.00    0.00,0,63.442178,10521.966,1000,6000,10886.572,-168391.533,-886.230179,8.0623794,-0.000920055,3.95E-07,-6.40E-11,3.58E-15,3641.50485,-18.00687603,1
aluminum monohydride dichloride,AlHCl2,g,AL  1.00H   1.00CL  2.00    0.00    0.00,0,98.894878,-351278.965,1000,6000,13676.196,96080.6394,-1485.540161,11.03592709,-0.000395696,8.47E-08,-9.48E-12,4.32E-16,-36692.1639,-32.36863081,1
aluminum monohydride monofluoride,AlHF,g,AL  1.00H   1.00F   1.00    0.00    0.00,0,46.9878812,-182614.484,1000,6000,10572.121,734216.925,-3462.16413,10.39714588,-0.001750738,4.62E-07,-5.39E-11,2.34E-15,-2965.279722,-37.13172313,1
aluminum monohydride monofluoride monochloride,AlHFCl,g,AL  1.00H   1.00F   1.00CL  1.00    0.00,0,82.4405812,-555244.524,1000,6000,12532.636,40689.8713,-1502.129854,11.05214126,-0.000403159,8.65E-08,-9.70E-12,4.42E-16,-61298.8811,-34.03564562,1
aluminum monohydride difluoride,AlHF2,g,AL  1.00H   1.00F   2.00    0.00    0.00,0,65.9862844,-765299.182,1000,6000,12299.975,-4419.9473,-1612.826324,11.13336052,-0.000435181,9.34E-08,-1.05E-11,4.79E-16,-86069.1619,-36.76383785,1
aluminum hydride,AlH2,g,AL  1.00H   2.00    0.00    0.00    0.00,0,28.997418,276774.934,1000,6000,10090.834,143291.0601,-2365.907684,9.08566719,-0.001308537,4.78E-07,-7.32E-11,4.00E-15,44859.5185,-32.20814285,1
aluminum dihydride monochloride,AlH2Cl,g,AL  1.00H   2.00CL  1.00    0.00    0.00,0,64.450118,-106345.406,1000,6000,11253.251,316692.993,-3094.037914,12.1587202,-0.000824827,1.77E-07,-1.98E-11,9.01E-16,2411.845642,-47.18391553,1
aluminum dihydride monofluoride,AlH2F,g,AL  1.00H   2.00F   1.00    0.00    0.00,0,47.9958212,-316655.854,1000,6000,10764.801,271151.4962,-3169.62348,12.21401118,-0.00084656,1.81E-07,-2.03E-11,9.25E-16,-22592.17746,-49.41337333,1
aluminum hydride,AlH3,g,AL  1.00H   3.00    0.00    0.00    0.00,0,30.005358,128896.08,1000,6000,10410.58,588545.855,-4595.78566,13.20893344,-0.001226849,2.63E-07,-2.94E-11,1.34E-15,39917.1695,-61.81829295,1
aluminum iodide,AlI,g,AL  1.00I   1.00    0.00    0.00    0.00,0,153.886008,67395.017,1000,6000,9751.117,475281.792,-1198.028588,5.43368536,-0.000100448,-1.01E-07,4.57E-11,-3.96E-15,14646.27816,-3.141199746,1
aluminum iodide,AlI2,g,AL  1.00I   2.00    0.00    0.00    0.00,0,280.790478,-33812.954,1000,6000,13923.046,-335599.902,474.334794,7.10650139,-0.000552997,3.16E-07,-5.52E-11,3.17E-15,-9785.48885,-0.560227594,1
aluminum iodide,AlI3,g,AL  1.00I   3.00    0.00    0.00    0.00,0,407.694948,-191330.433,1000,6000,19003.567,-63574.2747,-15.7877228,10.01249733,-5.23E-06,1.20E-09,-1.41E-13,6.67E-18,-26114.55525,-12.47999813,1
aluminum nitride,AlN,g,AL  1.00N   1.00    0.00    0.00    0.00,0,40.988278,438829.011,1000,6000,9265.111,3821214.22,-10677.76595,14.49174222,-0.003727227,7.92E-07,-8.09E-11,2.89E-15,120523.634,-72.88584973,1
aluminum oxide,AlO,g,AL  1.00O   1.00    0.00    0.00    0.00,0,42.980938,67319.006,1000,6000,8788.106,15657.21161,3855.74101,-5.92607978,0.00905096,-2.93E-06,4.24E-10,-2.28E-14,-13316.94655,68.30663436,1
aluminum monoxide monochloride,AlOCl,g,AL  1.00O   1.00CL  1.00    0.00    0.00,0,78.433638,-301564.57,1000,6000,11906.037,-125802.7706,-242.0565961,7.68113002,-7.27E-05,1.61E-08,1.85E-12,8.61E-17,-37543.2605,-14.75818894,1
aluminum monoxide dichloride,AlOCl2,g,AL  1.00O   1.00CL  2.00    0.00    0.00,0,113.886338,-402308.669,1000,6000,15752.494,-170771.3922,-118.0013804,10.08798517,-3.51E-05,7.75E-09,-8.87E-13,4.10E-17,-51249.4414,-20.5925375,1
aluminum monoxide monofluoride,AlOF,g,AL  1.00O   1.00F   1.00    0.00    0.00,0,61.9793412,-572289.603,1000,6000,11003.003,-164102.0297,-327.777029,7.74451974,-9.79E-05,2.17E-08,-2.49E-12,1.15E-16,-69740.8509,-17.17253748,1
aluminum monoxide difluoride,AlOF2,g,AL  1.00O   1.00F   2.00    0.00    0.00,0,80.9777444,-773649.771,1000,6000,14055.387,-249668.1413,-283.7821503,10.21108125,-8.42E-05,1.86E-08,-2.12E-12,9.82E-17,-95218.0419,-25.22534812,1
aluminum hydroxide,AlOH,g,AL  1.00O   1.00H   1.00    0.00    0.00,0,43.988878,-192762.171,1000,6000,10351.931,788200.721,-2263.655763,7.823939,0.000182125,-8.26E-08,1.27E-11,-6.88E-16,-10398.18406,-22.09020907,1
aluminum hydroxide monochloride,AlOHCl,g,AL  1.00O   1.00H   1.00CL  1.00    0.00,0,79.441578,-373785.74,1000,6000,13918.918,796711.551,-2843.470502,10.9555997,-0.000109933,-1.34E-08,4.42E-12,-2.97E-16,-29698.61461,-32.96114562,1
aluminum hydroxide dichloride,AlOHCl2,g,AL  1.00O   1.00H   1.00CL  2.00    0.00,0,114.894278,-725145.408,1000,6000,17149.806,738591.539,-2863.200675,13.9706199,-0.00011603,-1.21E-08,4.26E-12,-2.90E-16,-72930.5033,-46.81833172,1
