name,formula,state,formula_raw,phase_flag,mw,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
silver,Ag,g,AG  1.00    0.00    0.00    0.00    0.00,0,107.8682,284900,6000,20000,6197.428,-371744150,275806.9172,-73.8598261,0.009606159,-5.39E-07,1.36E-11,-1.27E-16,-2107724.971,662.837457,1
aluminum,Al,g,AL  1.00    0.00    0.00    0.00    0.00,0,26.981538,330000,6000,20000,6918.671,-504068232,380232.265,-108.2347159,0.015494443,-1.07E-06,3.59E-11,-4.70E-16,-2901050.501,949.188316,1
aluminum oxide,AlO,g,AL  1.00O   1.00    0.00    0.00    0.00,0,42.980938,67319.006,6000,20000,8788.106,41656612.1,-37686.0876,15.47867956,-0.000956873,2.49E-08,6.69E-14,-9.00E-18,295778.6517,-94.27715804,1
argon,Ar,g,AR  1.00    0.00    0.00    0.00    0.00,0,39.948,0,6000,20000,6197.428,-995126508,645888.726,-167.5894697,0.023199334,-1.72E-06,6.53E-11,-9.74E-16,-5078300.34,1465.298484,1
boron,B,g,B   1.00    0.00    0.00    0.00    0.00,0,10.811,575598.76,6000,20000,6316.06,-415000131,232957.6796,-47.2091371,0.004877656,-2.07E-07,3.23E-12,-1.82E-18,-1802904.743,443.961764,1
boron monohydride,BH,g,B   1.00H   1.00    0.00    0.00    0.00,0,11.81894,456723.204,6000,20000,8639.104,16715681.44,-47392.3934,30.02619492,-0.004066742,2.73E-07,-8.93E-12,1.16E-16,377229.776,-214.2712519,1
boron monoxide,BO,g,B   1.00O   1.00    0.00    0.00    0.00,0,26.8104,20406.404,6000,20000,8674.104,-159269951.4,121095.5629,-31.36823502,0.005110038,-3.46E-07,1.15E-11,-1.50E-16,-934506.576,302.6123907,1
barium,Ba,g,BA  1.00    0.00    0.00    0.00    0.00,0,137.327,185000,6000,20000,6197.428,348345207,-292555.8261,97.7488849,-0.013454771,9.57E-07,-3.38E-11,4.73E-16,2250335.26,-796.844441,1
barium oxide,BaO,g,BA  1.00O   1.00    0.00    0.00    0.00,0,153.3264,-117948.392,6000,20000,9014.108,-1104748482,356145.169,-12.36258085,-0.002812895,3.31E-07,-1.25E-11,1.70E-16,-3157682.531,206.7297489,1
beryllium,Be,g,BE  1.00    0.00    0.00    0.00    0.00,0,9.012182,324000,6000,20000,6197.428,414583352,-225414.7519,44.1143791,-0.003022854,1.18E-07,-2.27E-12,1.20E-17,1866686.325,-375.23374,1
