name,formula,state,formula_raw,phase_flag,mw,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
silver,Ag,g,AG  1.00    0.00    0.00    0.00    0.00,0,107.8682,284900,200,1000,6197.428,0,0,2.5,0,0,0,0,33520.0237,6.56281935,1
aluminum,Al,g,AL  1.00    0.00    0.00    0.00    0.00,0,26.981538,330000,200,1000,6918.671,5006.60889,18.61304407,2.412531111,0.00019876,-2.43E-07,1.54E-10,-3.94E-14,38874.1268,6.086585765,1
aluminum borate,AlBO2,g,AL  1.00B   1.00O   2.00    0.00    0.00,0,69.791338,-541416.208,300,1000,0,0,0,2.3087234,0.018890539,-2.06E-05,1.03E-08,-1.69E-12,-66482.167,14.47701848,1
aluminum bromide,AlBr,g,AL  1.00BR  1.00    0.00    0.00    0.00,0,106.885538,14325.015,200,1000,9571.115,8176.15864,-251.6942718,5.40329633,-0.001747213,2.08E-06,-1.26E-09,3.17E-13,1635.024429,-2.323594886,1
aluminum bromide,AlBr2,g,AL  1.00BR  2.00    0.00    0.00    0.00,0,186.789538,-140662.125,200,1000,13397.875,31993.7587,-711.917897,9.47825811,-0.004875532,5.52E-06,-3.34E-09,8.37E-13,-15405.91306,-17.42171366,1
aluminum bromide,AlBr3,g,AL  1.00BR  3.00    0.00    0.00    0.00,0,266.693538,-410476.664,200,1000,17943.336,47189.4884,-1053.853163,13.50747168,-0.00663987,7.27E-06,-4.28E-09,1.05E-12,-46994.4033,-36.6793678,1
aluminum carbide,AlC,g,AL  1.00C   1.00    0.00    0.00    0.00,0,38.992238,682283.509,200,1000,9058.109,41399.2188,-585.867789,5.96244572,-0.002006064,1.67E-06,-7.12E-10,1.27E-13,83834.3611,-8.00216505,1
aluminum carbide,AlC2,g,AL  1.00C   2.00    0.00    0.00    0.00,0,51.002938,675615.776,200,1000,12262.776,15240.87465,-264.9987059,6.2804149,-0.000178604,3.79E-06,-4.00E-09,1.30E-12,80927.6328,-6.247291862,1
aluminum chloride,AlCl,g,AL  1.00CL  1.00    0.00    0.00    0.00,0,62.434238,-51007.443,200,1000,9323.112,23808.81392,-445.715942,5.99285399,-0.0027773,3.10E-06,-1.82E-09,4.41E-13,-5202.73603,-7.383305224,1
aluminum chloride,AlCl2,g,AL  1.00CL  2.00    0.00    0.00    0.00,0,97.886938,-240874.252,200,1000,12846.859,53405.4595,-967.805798,10.06252671,-0.005539528,5.82E-06,-3.31E-09,7.83E-13,-26076.2711,-23.93365135,1
aluminum chloride,AlCl3,g,AL  1.00CL  3.00    0.00    0.00    0.00,0,133.339638,-584678.863,200,1000,16400.803,77506.0097,-1440.779717,14.01744141,-0.006381631,5.87E-06,-2.91E-09,5.99E-13,-65793.4318,-44.94018811,1
aluminum fluoride,AlF,g,AL  1.00F   1.00    0.00    0.00    0.00,0,45.9799412,-264060.446,200,1000,8892.107,30207.71686,-308.0986949,3.88641314,0.003564344,-5.86E-06,4.39E-09,-1.26E-12,-31175.72862,2.032567172,1
aluminum monofluoride monochloride,AlFCl,g,AL  1.00F   1.00CL  1.00    0.00    0.00,0,81.4326412,-436409.913,200,1000,12133.195,41047.7948,-576.964642,6.5626427,0.004106286,-7.21E-06,5.49E-09,-1.58E-12,-51148.287,-6.041232579,1
aluminum monofluoride dichloride,AlFCl2,g,AL  1.00F   1.00CL  2.00    0.00    0.00,0,116.8853412,-791395.404,200,1000,15738.26,69556.0734,-1188.857902,11.5667259,0.000457496,-3.41E-06,3.36E-09,-1.09E-12,-91620.4926,-32.06065851,1
aluminum fluoride,AlF2,g,AL  1.00F   2.00    0.00    0.00    0.00,0,64.9783444,-631764.175,200,1000,11600.932,29949.51991,-219.4199915,3.41674876,0.012729539,-1.88E-05,1.33E-08,-3.68E-12,-76075.3765,8.759626916,1
aluminum difluoride monochloride,AlF2Cl,g,AL  1.00F   2.00CL  1.00    0.00    0.00,0,100.4310444,-999128.145,200,1000,14827.517,56774.1209,-886.982947,8.75274655,0.008195791,-1.38E-05,1.03E-08,-2.95E-12,-117793.6778,-18.58347808,1
aluminum fluoride,AlF3,g,AL  1.00F   3.00    0.00    0.00    0.00,0,83.9767476,-1209276.938,200,1000,14043.722,44102.6352,-566.749574,5.83307285,0.016035351,-2.41E-05,1.71E-08,-4.75E-12,-144334.9991,-5.461613658,1
aluminum hydride,AlH,g,AL  1.00H   1.00    0.00    0.00    0.00,0,27.989478,249250.804,200,1000,8668.104,-37591.1403,508.900223,1.128086896,0.003988661,-2.15E-07,-2.18E-09,1.02E-12,26444.31827,16.50021856,1
aluminum monohydride monochloride,AlHCl,g,AL  1.00H   1.00CL  1.00    0.00    0.00,0,63.442178,10521.966,200,1000,10886.572,35871.6976,-591.624999,6.94454238,-0.002511543,6.47E-06,-5.64E-09,1.72E-12,2750.930479,-9.903752973,1
aluminum monohydride dichloride,AlHCl2,g,AL  1.00H   1.00CL  2.00    0.00    0.00,0,98.894878,-351278.965,200,1000,13676.196,118482.8615,-2054.157118,15.74696513,-0.014762573,2.07E-05,-1.42E-08,3.83E-12,-34342.7746,-57.61184971,1
aluminum monohydride monofluoride,AlHF,g,AL  1.00H   1.00F   1.00    0.00    0.00,0,46.9878812,-182614.484,200,1000,10572.121,-9289.5451,133.5515868,2.77244868,0.006751415,-4.13E-06,5.87E-10,2.28E-13,-23846.85845,12.28752581,1
aluminum monohydride monofluoride monochloride,AlHFCl,g,AL  1.00H   1.00F   1.00CL  1.00    0.00,0,82.4405812,-555244.524,200,1000,12532.636,129037.3237,-2142.099873,14.8543442,-0.011403269,1.56E-05,-1.07E-08,2.86E-12,-58183.0307,-54.83425532,1
aluminum monohydride difluoride,AlHF2,g,AL  1.00H   1.00F   2.00    0.00    0.00,0,65.9862844,-765299.182,200,1000,12299.975,105018.1431,-1398.654202,9.16633484,0.003867287,-4.83E-06,3.10E-09,-8.44E-13,-86590.488,-25.57299683,1
aluminum hydride,AlH2,g,AL  1.00H   2.00    0.00    0.00    0.00,0,28.997418,276774.934,200,1000,10090.834,14551.82996,-215.3768996,5.14437023,-0.003965222,1.34E-05,-1.22E-08,3.74E-12,33110.3794,-3.608799711,1
